spkid,pdes,full_name,neo,pha,class,moid,e,a,q,i,per,H,diameter,albedo,condition_code,data_arc,n_obs_used
20153201,153201,153201 (2000 WO107),Y,Y,ATE,.00280349,.7807988998084086,.9111613385642372,.1997275678653239,7.765850895402412,317.6810816643008,19.30,0.510,0.129,0,8479,1137
20153219,153219,153219 (2000 YM29),Y,N,AMO,.195383,.4355803284277044,2.089241663598906,1.179209093603651,40.33608135139663,1103.015064232711,18.54,1.289,0.035,0,7787,647
20153220,153220,153220 (2000 YN29),Y,Y,APO,.0316391,.6679632386118813,2.540504974756137,.8435410441084319,6.227063201455155,1479.03517056019,17.43,,,0,10070,206
20153243,153243,153243 (2001 AU47),Y,N,APO,.401167,.5307122340342211,1.29897406999993,.6095926393577427,35.97951981658851,540.7532640744182,17.50,,,0,8834,667
20153249,153249,153249 (2001 BW15),Y,N,APO,.0563103,.5906912246354195,2.117342131425191,.8666467148414755,41.28038160399408,1125.343186573039,15.65,3.160,0.177,0,13531,1219
20153267,153267,153267 (2001 CB32),Y,N,APO,.119161,.6136958020639515,1.781576187986461,.6882303603620726,9.674374325248243,868.5704020623142,17.80,,,0,11869,455
20153271,153271,153271 (2001 CL42),Y,N,APO,.190982,.4024776005745762,1.557126815871444,.9304181512291755,21.65228565374107,709.715683905532,17.40,2.441,0.039,0,9168,1090
20153306,153306,153306 (2001 JL1),Y,N,AMO,.507311,.5232242396364243,2.553434888639465,1.217415860569963,26.97569700978918,1490.340861540608,16.80,,,0,11585,635
20153311,153311,153311 (2001 MG1),Y,Y,APO,.0402986,.6462793520998439,2.501241968946593,.8847409298108508,28.42255414859933,1444.880692198466,17.40,,,0,13400,254
20153315,153315,153315 (2001 NH6),Y,N,APO,.0987704,.449530157364394,1.237290507245835,.6810911108181438,34.70338748702496,502.6966004668147,19.55,,,0,8272,123
20153349,153349,153349 (2001 PJ9),Y,N,APO,.0517014,.6380931249307835,1.799828915329517,.6513704584061228,10.55284565707122,881.9526388020394,18.65,,,0,8542,424
20153415,153415,153415 (2001 QP153),Y,N,ATE,.0735103,.2139379305770492,.8915110144169858,.7007829929059699,50.20658970567406,307.459910626167,17.01,,,0,10003,670
20153460,153460,153460 (2001 RN),Y,N,APO,.139648,.5810635031303421,1.414036426668716,.5923914670346808,10.0849251522653,614.1710238959389,19.71,,,0,8848,133
20153591,153591,153591 (2001 SN263),Y,Y,AMO,.047792,.4800069029237894,1.987725893560321,1.033603743531009,6.693019107708427,1023.606817296131,17.11,2,,0,13130,3689
20153792,153792,153792 (2001 VH75),Y,N,APO,.0567337,.7429086877685055,2.098428603106288,.5394877631966974,10.48292642365965,1110.298422895165,18.14,,,0,8710,99
20153814,153814,153814 (2001 WN5),Y,Y,APO,.00170699,.4673010004321669,1.711561211606221,.9117469451217423,1.919533161977705,817.8752770211805,18.28,0.932,0.097,0,11176,1024
20153842,153842,153842 (2001 XT30),Y,N,AMO,.20722,.5671089769336766,2.748735322785954,1.189902846019353,9.003182896680789,1664.55370586428,16.70,1.759,0.193,0,9456,1097
20153951,153951,153951 (2002 AC3),Y,N,AMO,.249957,.3421572918939205,1.836038177019221,1.207824326556474,15.46605149607409,908.700962032263,18.75,,,0,8648,744
20153953,153953,153953 (2002 AD9),Y,N,APO,.409465,.8088829153627838,1.773232294438565,.3388949864976603,31.01365534172746,862.475714498476,16.81,,,0,18606,368
20153957,153957,153957 (2002 AB29),Y,N,APO,.081704,.7591390093439266,2.532100848859713,.6098843188974348,46.53616566345464,1471.702152644369,17.76,,,0,8948,488
20153958,153958,153958 (2002 AM31),Y,Y,APO,.0316506,.4514134023286629,1.703369503538123,.9344456805230933,4.644604550320206,812.0106553737235,18.35,,,0,15330,834
20154007,154007,154007 (2002 BY),Y,N,AMO,.177616,.3466975214480978,1.818409393065805,1.187971363511951,2.725914289059136,895.6450417363201,18.12,,,0,14861,850
